군구,june,2020. 07,2020. 08
　　　종로구,150383,150183,149962
　　　중구,126092,125970,125990
　　　용산구,229431,229432,229362
　　　성동구,297397,296896,296183
　　　광진구,349574,349258,348647
　　　동대문구,345593,345156,344650
　　　중랑구,394414,394293,395788
　　　성북구,441812,441188,440395
　　　강북구,311773,311198,310555
　　　도봉구,329560,328822,328014
　　　노원구,528887,527981,526718
　　　은평구,479524,481184,481729
　　　서대문구,312720,312264,312632
　　　마포구,374390,374036,373620
　　　양천구,457953,457543,456980
　　　강서구,586936,586279,584920
　　　구로구,405075,405260,405495
　　　금천구,232250,231939,232013
　　　영등포구,373349,374097,375133
　　　동작구,395165,394905,394118
　　　관악구,499740,499729,499316
　　　서초구,428919,428252,427237
　　　강남구,541233,540636,540148
　　　송파구,671512,671589,671312
　　　강동구,457164,457339,457330
